WO ref,PROCESS,PART #,PART DESCRIPT,CUSTOMER,HOURS O/S,OP #,OP DESCRIPT,REQ'D DATE,PERIOD
56432/5.02,MILLING,MP/SOI1/VE2037,SPRING HOUSING   VE2037 iss 0,SOIL MACHINE DYNAMICS LIMITED,10.5,20,MILL - REVERSE COUNTERBORE,25/02/2020,
56572/1.02,TURNING,MP/CRE1/CRE-MC1204-MDT,"CRE-MC1204-MDT Rev A   35 DIA LOCKING COLLAR -  TYPE DLSA-M 
*ENCLUDING ENGRAVING DETAIL",C R ENCAPSULATION LIMITED,1.59,20,TURN,15/04/2020,
56903/2.02,MANUAL MACHINING,MP/PER1/B201-278-024/ITEM 1,PORT SIDE END PLATE B201-278-024 ITEM 1,FORUM ENERGY TECHNOLOGIES (UK) LTD,1.17,30,MANUAL MACHINING & FIT PANEL,22/04/2020,
56903/2.02,CNC ROUTERS,MP/PER1/B201-278-024/ITEM 1,PORT SIDE END PLATE B201-278-024 ITEM 1,FORUM ENERGY TECHNOLOGIES (UK) LTD,0.75,20,CNC ROUTER,22/04/2020,
56098/8.01,MANUAL MACHINING,MP/ARW1/24460028708/373982,"TERMINAL BOARD COVER 24460028708
ARW PART No 373982
(INDIVIDUALLY INSPECTED AND BAGGED)",ARW TRANSFORMERS LIMITED,0,30,FOLD,30/04/2020,
57547/2.01,CNC ROUTERS,MP/CAS-/SCREEN/1000Wx1300H,"PROTECTIVE SCREEN
1000mm WIDE X 1300mm HIGH 
3mm CLEAR POLYCARBONATE SCREEN C/W 6mm THICK WHITE PVC LEGS",CASCADE TECHNOLOGIES Ltd,11.67,20,CNC ROUTER - MAIN PANEL,29/07/2020,
57547/2.01,CNC ROUTERS,MP/CAS-/SCREEN/1000Wx1300H,"PROTECTIVE SCREEN
1000mm WIDE X 1300mm HIGH 
3mm CLEAR POLYCARBONATE SCREEN C/W 6mm THICK WHITE PVC LEGS",CASCADE TECHNOLOGIES Ltd,11.67,30,CNC ROUTER - LEGS - SET OF TWO,30/07/2020,
1057,CNC ROUTERS,MP/BEC/DESK-SHIELD/STANDARD,"DESK SHIELD - STANDARD, 1000mm LONG X 750mm TALL, MAIN PANEL 4mm THICK, 6mm THICK LEGS",,0,20,LEGS,12/08/2020,
1057,CNC ROUTERS,MP/BEC/DESK-SHIELD/STANDARD,"DESK SHIELD - STANDARD, 1000mm LONG X 750mm TALL, MAIN PANEL 4mm THICK, 6mm THICK LEGS",,0,30,MAIN BODY,12/08/2020,
57673/1.01,MANUAL MACHINING,MP/CAS1/RIGHTANGLESCREENS/1500X900,"RIGHT ANGLE PANELS, 1500mm x 900mm (material 2400mm long) x 1300mm HIGH c/w 1 x 6mm WHITE PVC LEG + 2 x STEEL LOCATING PUCKS
CLEAR 4mm POLYCARBONATE SCREEN",CASCADE TECHNOLOGIES Ltd,11.67,30,FOLD,18/08/2020,
1058,CNC ROUTERS,MP/BEC/DESK-SHIELD/STANDARD/1MX720MM,"DESK SHIELD - STANDARD, 1000mm LONG X 720mm TALL, MAIN PANEL 4mm THICK, 6mm THICK WHITE PVC LEGS",,5.25,20,LEGS,19/08/2020,
1058,CNC ROUTERS,MP/BEC/DESK-SHIELD/STANDARD/1MX720MM,"DESK SHIELD - STANDARD, 1000mm LONG X 720mm TALL, MAIN PANEL 4mm THICK, 6mm THICK WHITE PVC LEGS",,3.67,30,MAIN BODY,19/08/2020,
1059,CNC ROUTERS,MP/BEC/DESK-SHIELD/STANDARD/600MMX650MM,"DESK SHIELD - STANDARD, 600mm LONG X 650mm TALL, MAIN PANEL 4mm THICK, 6mm THICK LEGS",,5,20,LEGS,19/08/2020,
1059,CNC ROUTERS,MP/BEC/DESK-SHIELD/STANDARD/600MMX650MM,"DESK SHIELD - STANDARD, 600mm LONG X 650mm TALL, MAIN PANEL 4mm THICK, 6mm THICK LEGS",,3.5,30,MAIN BODY,19/08/2020,
1060,CNC ROUTERS,MP/BEC/FLOORSCREEN/NON-STANDARD,"BESPOKE FLOOR SCREEN, 1800mm X 720mm  X 4mm C/W 6mm SIDES",,0,20,MAIN PANEL,20/08/2020,
57675/10.01,MILLING,MP/SOI1/AB0754,PLATE QUADRANT CHEEK AB0754 iss 1,SOIL MACHINE DYNAMICS LIMITED,0.17,30,MILL,27/08/2020,
57675/10.01,MILLING,MP/SOI1/AB0754,PLATE QUADRANT CHEEK AB0754 iss 1,SOIL MACHINE DYNAMICS LIMITED,0.33,40,MILL,27/08/2020,
1062,MANUAL MACHINING,MP/CAS1/RIGHTANGLESCREENS/1500X760,"RIGHT ANGLE PANELS, 1500mm x 760mm (material 2220mm long) x 1300mm HIGH c/w 1 x 6mm WHITE PVC LEG + 2 x STEEL LOCATING PUCKS
CLEAR 4mm POLYCARBONATE SCREEN",,1.33,30,FOLD,02/09/2020,
1064,CNC ROUTERS,MP/BEC/DESK-SHIELD/NON-STANDARD,DESK SAFETY SCREEN,,0.25,20,LEGS,02/09/2020,
57687/1.01,MILLING,MP/SOI1/DE2111,6.3 LITRE COMP   BASE PLATE DE2111 REV 1,SOIL MACHINE DYNAMICS LIMITED,0.68,40,MILL,09/09/2020,
1068,CNC ROUTERS,MP/BEC/SANITISER-STAND-TABLETOP,SANITISER STAND - TABLETOP,,0.58,20,CNC ROUTER,21/09/2020,
57868/2.01,CNC ROUTERS,MP/ALE2/RQ-ICD-00232,RQ-ICD-00232 Rev 0-02   HDPE DOUBLE SUPPORT PLATE (BLACK HDPE) ,ROVQUIP,4.58,20,CNC ROUTER,22/09/2020,
58049/1.01,CNC ROUTERS,MP/LIN1/2100X15X9,"NAT POLYPROP, 2100mm LONG X 15mm WIDE X 9mm THICK ",LINN TECH,0.66,20,CNC ROUTER,02/10/2020,
58062/1.01,CNC ROUTERS,MP/SOI1/AL3900,AL3900 REV 1   TERMATE MOUNTING PLATE,SOIL MACHINE DYNAMICS LIMITED,1.5,20,CNC ROUTER,21/10/2020,
58062/1.01,MANUAL MACHINING,MP/SOI1/AL3900,AL3900 REV 1   TERMATE MOUNTING PLATE,SOIL MACHINE DYNAMICS LIMITED,1.25,30,FINISH,21/10/2020,
58241/1.01,MANUAL MACHINING,MP/SOI1/AA7928,AA7928 iss 0  SLEEVE UMBILICAL COLLAR  ,SOIL MACHINE DYNAMICS LIMITED,1,40,SPLIT,11/11/2020,
58334/2.01,CNC ROUTERS,MP/BEC/SAFETYSCREEN/NON-STANDARD,SAFETY SCREENS ,JOHN MCNEIL INTERIORS,0.49,20,CNC ROUTER,25/11/2020,
58376/1.01,CNC ROUTERS,MP/BEC/SAFETYSCREEN/NON-STANDARD,SAFETY SCREENS ,JOHN MCNEIL INTERIORS,0,20,CNC ROUTER,02/12/2020,
58281/1.01,MILLING,MP/PER1/0452-DET,PLASTIC BODY ELECTRIC PAN & TILT  0452-DET  iss 12,FORUM ENERGY TECHNOLOGIES (UK) LTD,1.08,70,MILL TOP FACE,08/12/2020,
58281/1.01,MILLING,MP/PER1/0452-DET,PLASTIC BODY ELECTRIC PAN & TILT  0452-DET  iss 12,FORUM ENERGY TECHNOLOGIES (UK) LTD,0,60,MILL SIDE HOLES,08/12/2020,
58281/1.01,MILLING,MP/PER1/0452-DET,PLASTIC BODY ELECTRIC PAN & TILT  0452-DET  iss 12,FORUM ENERGY TECHNOLOGIES (UK) LTD,5.5,50,MILL INSIDE DETAIL,08/12/2020,
58281/1.01,MILLING,MP/PER1/0452-DET,PLASTIC BODY ELECTRIC PAN & TILT  0452-DET  iss 12,FORUM ENERGY TECHNOLOGIES (UK) LTD,4,40,MILL 2OFF M62,08/12/2020,
58281/1.01,MILLING,MP/PER1/0452-DET,PLASTIC BODY ELECTRIC PAN & TILT  0452-DET  iss 12,FORUM ENERGY TECHNOLOGIES (UK) LTD,1.08,90,MILL PORT HOLE,09/12/2020,
58281/1.01,MANUAL MACHINING,MP/PER1/0452-DET,PLASTIC BODY ELECTRIC PAN & TILT  0452-DET  iss 12,FORUM ENERGY TECHNOLOGIES (UK) LTD,0.67,100,INSERT,09/12/2020,
58281/1.01,MILLING,MP/PER1/0452-DET,PLASTIC BODY ELECTRIC PAN & TILT  0452-DET  iss 12,FORUM ENERGY TECHNOLOGIES (UK) LTD,4,80,MILL PROFILE AND RAD ENG,09/12/2020,
1073,MANUAL MACHINING,MP/BEC/DESK-STABILISERS,'L' BRACKET DESK STABILISERS - WHITE PVC - 6mm THICK (PAIR),,2.75,30,FOLD,10/12/2020,
1074,MILLING,MP/SOI1/VE2037,SPRING HOUSING   VE2037 iss 0,,10.5,20,MILL - REVERSE COUNTERBORE,22/12/2020,
